no,imf,legal_status,tel2,unnamed,pobox
   1, KIRA KABATWA SACCO                               ,SACCO,,125,RUHENGERI
   2, ABANZUMUGAYO NYAMIRAMA                           ,SACCO,,,
   3, MUSHERI SACCO                                    ,SACCO,,,
   4, COECR ABISUNGANYE SACCO                          ,SACCO,,125,RUHENGERI
   5, SACCO RUTUNGA                                    ,SACCO,,,
   6, INDATSIKIRA SACCO KIMIHURURA                     ,SACCO,,,
   7, INGENZI BYIMANA                                  ,SACCO,,,
   8, MUNYIGINYA SACCO                                 ,SACCO,,,
   9, UMUGISHA SACCO MUYUMBU                           ,SACCO,,,
